source,destination,distance_km,days_to_departure,day_of_week,demand_index,price_inr
Delhi,Goa,380.24,30,4,0.69,2555
Bangalore,Kolkata,1442.54,42,6,1.0,7614
Pune,Chennai,920.08,7,4,0.71,4505
Delhi,Pune,1202.93,30,2,1.21,4997
Pune,Kolkata,1876.78,8,5,1.36,13874
Chennai,Bangalore,2261.91,51,0,1.1,13131
Chennai,Pune,305.39,42,2,0.74,2000
Bangalore,Delhi,2781.5,4,4,0.95,19062
Chennai,Bangalore,2362.42,27,3,0.81,8610
Kolkata,Chennai,2033.74,1,0,1.14,17644
Mumbai,Chennai,222.7,6,2,0.93,2000
Hyderabad,Pune,813.69,41,2,1.07,2350
Goa,Hyderabad,1560.72,79,2,0.99,6355
Mumbai,Chennai,886.14,5,3,1.41,8125
Pune,Goa,948.51,41,3,0.93,3169
Bangalore,Mumbai,1961.55,41,3,1.35,9838
Kolkata,Hyderabad,1805.48,3,5,1.14,14902
Hyderabad,Chennai,1444.45,29,5,1.13,8315
Mumbai,Bangalore,2947.12,63,2,1.31,12989
Chennai,Hyderabad,888.52,0,3,0.61,3874
Bangalore,Mumbai,2759.72,14,3,0.97,15395
Hyderabad,Chennai,1537.54,21,2,1.0,6156
Mumbai,Pune,1545.39,12,5,1.05,7501
Delhi,Hyderabad,1613.64,18,2,0.92,7634
Kolkata,Bangalore,468.74,10,6,1.07,3971
Delhi,Kolkata,2769.43,29,1,0.7,8536
Chennai,Hyderabad,2385.75,12,4,0.79,10340
Goa,Bangalore,1261.86,11,0,0.81,7010
Kolkata,Goa,1915.72,31,5,1.09,11237
Chennai,Pune,1409.35,19,3,1.32,10225
Bangalore,Delhi,2232.59,53,2,1.04,7438
Mumbai,Kolkata,1333.76,89,1,0.97,5415
Chennai,Bangalore,1862.48,18,0,0.95,11530
Hyderabad,Goa,906.33,18,1,1.03,3668
Kolkata,Delhi,2056.99,51,5,0.98,10308
Bangalore,Delhi,1186.71,13,4,0.92,6551
Chennai,Bangalore,957.02,101,5,0.91,3365
Hyderabad,Goa,1247.46,7,5,0.94,7010
Bangalore,Hyderabad,1226.81,13,4,1.34,9068
Hyderabad,Chennai,2291.14,10,3,0.85,10364
Goa,Chennai,324.07,46,4,1.02,2000
Delhi,Pune,741.57,5,1,0.98,3448
Kolkata,Chennai,205.27,0,0,1.0,3545
Pune,Hyderabad,2205.69,8,3,0.89,8527
Chennai,Bangalore,548.56,12,2,0.5,2000
Chennai,Kolkata,2828.72,13,6,0.92,17861
Mumbai,Bangalore,1903.75,14,0,1.16,15341
Mumbai,Goa,2569.87,42,3,1.0,8035
Pune,Kolkata,2413.62,9,0,0.79,12945
Bangalore,Hyderabad,1075.28,34,3,1.1,4459
Hyderabad,Kolkata,2469.18,8,4,1.06,11886
Goa,Chennai,1325.05,8,1,1.06,6467
Chennai,Bangalore,2661.74,47,5,0.8,9408
Pune,Mumbai,1472.47,4,4,1.08,12429
Chennai,Delhi,2442.37,51,6,1.01,13989
Kolkata,Delhi,331.96,18,6,0.91,3122
Kolkata,Hyderabad,834.79,15,5,1.15,4780
Goa,Chennai,2352.15,64,5,0.94,11011
Chennai,Goa,2349.4,108,5,1.06,9548
Pune,Hyderabad,2218.57,48,6,0.73,7715
Bangalore,Kolkata,2508.21,21,6,0.73,12334
Goa,Delhi,2711.39,19,4,1.3,18512
Delhi,Bangalore,2681.8,59,4,0.63,9106
Delhi,Mumbai,2468.69,33,1,1.03,10865
Kolkata,Goa,2041.49,11,1,1.03,10964
Delhi,Hyderabad,1569.85,30,4,1.04,6818
Hyderabad,Pune,1932.35,10,6,1.01,12079
Kolkata,Goa,1961.52,14,2,0.96,8551
Hyderabad,Bangalore,1001.95,2,4,1.28,9647
Hyderabad,Mumbai,798.72,76,1,0.96,2919
Hyderabad,Delhi,362.23,24,5,0.94,2000
Chennai,Kolkata,2545.0,38,4,0.97,11544
Kolkata,Pune,1590.63,2,3,0.94,8554
Delhi,Chennai,2053.25,8,1,0.76,10854
Delhi,Mumbai,716.84,5,1,1.03,4904
Mumbai,Hyderabad,1548.71,45,2,0.77,5054
Mumbai,Kolkata,2051.92,19,0,1.14,15658
Pune,Chennai,604.27,27,0,0.71,2567
Delhi,Goa,1364.9,95,3,1.1,5819
Goa,Kolkata,338.11,10,4,0.8,2294
Mumbai,Bangalore,2680.93,33,3,1.16,11389
Goa,Bangalore,1921.32,18,0,0.93,11840
Mumbai,Chennai,2210.19,34,1,0.97,9519
Kolkata,Pune,2433.29,1,4,0.94,13803
Mumbai,Bangalore,1035.43,12,5,1.31,7305
Pune,Hyderabad,348.62,24,5,1.17,2000
Delhi,Bangalore,1311.9,23,4,0.61,5170
Pune,Bangalore,690.42,97,1,1.14,3320
Goa,Hyderabad,587.93,62,1,0.99,2275
Bangalore,Mumbai,1385.64,39,6,1.31,10457
Pune,Bangalore,2419.47,21,1,1.3,12431
Chennai,Delhi,2363.57,13,1,1.01,11017
Chennai,Goa,2549.75,30,0,0.82,12355
Hyderabad,Pune,436.49,11,2,0.9,2397
Hyderabad,Mumbai,272.8,5,0,0.85,4012
Delhi,Bangalore,2750.47,8,0,0.83,14994
Pune,Kolkata,1818.93,80,2,1.14,5278
Pune,Mumbai,1579.79,20,6,0.95,10151
Mumbai,Chennai,1350.26,18,0,1.13,9771
Bangalore,Chennai,2748.21,35,0,0.75,13846
Kolkata,Hyderabad,2465.62,42,5,0.83,8910
Chennai,Kolkata,1278.52,8,6,0.68,5269
Goa,Chennai,1501.41,33,6,1.18,10334
Chennai,Bangalore,1108.87,92,6,0.94,3687
Pune,Hyderabad,1978.06,55,6,1.3,15282
Chennai,Mumbai,837.41,5,4,1.09,4555
Pune,Bangalore,2754.74,123,2,1.18,11159
Mumbai,Chennai,1719.97,68,6,1.16,9767
Pune,Hyderabad,2445.58,55,4,1.15,13162
Mumbai,Pune,1154.53,10,3,1.25,7441
Hyderabad,Pune,1823.22,66,6,0.63,5760
Delhi,Mumbai,343.43,91,4,0.83,2000
Pune,Bangalore,1011.8,40,3,0.94,4330
Pune,Delhi,665.97,34,1,0.95,3717
Mumbai,Pune,769.01,0,4,0.99,6658
Hyderabad,Goa,1367.21,55,3,0.95,3667
Bangalore,Pune,2870.8,37,3,1.22,14684
Goa,Pune,1734.01,1,6,1.27,17004
Pune,Chennai,1869.2,18,6,0.85,9654
Goa,Delhi,1253.5,20,4,1.13,9162
Pune,Mumbai,2076.22,2,3,1.03,10012
Delhi,Bangalore,1750.92,16,1,0.97,8954
Bangalore,Chennai,764.81,7,5,1.14,4441
Bangalore,Delhi,1926.99,79,2,0.99,6777
Goa,Pune,2183.43,0,6,1.19,21633
Kolkata,Goa,834.38,74,3,0.78,2000
Chennai,Bangalore,1425.41,63,2,1.05,3822
Delhi,Bangalore,1616.38,8,5,1.03,8767
Goa,Pune,2832.58,8,6,0.85,15970
Pune,Goa,2851.83,8,0,1.27,24112
Mumbai,Chennai,666.81,12,2,1.2,3196
Mumbai,Chennai,893.23,17,6,1.53,9114
Hyderabad,Bangalore,2442.0,19,6,1.21,19754
Pune,Kolkata,1311.28,34,0,1.04,8995
Bangalore,Delhi,542.56,65,3,1.42,3109
Hyderabad,Kolkata,1323.59,16,1,1.33,8986
Bangalore,Hyderabad,2471.11,25,6,0.55,7870
Pune,Delhi,2513.83,36,2,1.11,9585
Hyderabad,Pune,1344.34,25,0,0.71,5611
Goa,Bangalore,1041.17,16,1,1.04,6445
Mumbai,Kolkata,212.57,11,5,1.24,2000
Kolkata,Bangalore,2117.37,4,0,1.07,19586
Mumbai,Delhi,2224.84,20,2,0.89,10215
Goa,Bangalore,1683.52,28,5,1.05,7673
Kolkata,Chennai,1362.15,62,2,0.98,4441
Delhi,Chennai,679.13,34,4,0.85,2859
Mumbai,Bangalore,2629.62,15,3,0.67,8195
Kolkata,Goa,1719.99,83,1,1.08,8350
Hyderabad,Kolkata,2866.57,4,1,0.95,17735
Mumbai,Kolkata,337.13,2,2,0.72,3845
Bangalore,Delhi,576.83,19,2,0.99,2000
Delhi,Hyderabad,1975.95,0,2,1.09,13215
Goa,Chennai,1906.05,56,3,0.98,7358
Bangalore,Chennai,406.12,4,0,1.07,3194
Hyderabad,Delhi,867.17,36,4,0.98,3851
Kolkata,Hyderabad,2012.85,6,3,0.8,9175
Delhi,Chennai,1699.47,83,2,1.31,6730
Delhi,Kolkata,2558.49,48,5,0.85,10069
Bangalore,Mumbai,2731.31,18,6,1.16,21055
Delhi,Pune,2896.88,73,2,0.79,7456
Chennai,Hyderabad,1353.73,14,2,0.81,4612
Chennai,Goa,396.25,10,4,1.5,2438
Pune,Hyderabad,1458.69,42,5,0.68,5172
Pune,Delhi,2669.23,8,1,0.91,12618
Hyderabad,Pune,1052.04,68,4,0.73,2977
Goa,Bangalore,1534.35,12,3,1.01,5579
Chennai,Hyderabad,2626.34,31,6,1.25,20320
Mumbai,Pune,2457.03,9,4,0.83,9869
Bangalore,Chennai,1518.52,59,0,0.78,5522
Kolkata,Mumbai,1883.94,16,2,0.77,7172
Bangalore,Chennai,2661.15,15,5,1.06,13720
Bangalore,Delhi,1224.71,27,0,1.06,9018
Chennai,Mumbai,1867.21,2,2,1.25,13523
Mumbai,Delhi,2100.56,4,1,1.24,18576
Pune,Delhi,2494.86,15,0,0.97,18869
Hyderabad,Chennai,1800.42,46,0,0.84,7600
Bangalore,Hyderabad,2432.12,7,2,0.56,4760
Kolkata,Chennai,2443.16,5,4,0.86,14003
Hyderabad,Kolkata,1368.32,16,5,0.77,5823
Delhi,Chennai,897.75,27,6,1.1,6482
Bangalore,Goa,1043.35,39,1,0.98,4685
Chennai,Delhi,1894.32,0,0,0.92,13344
Goa,Bangalore,2558.8,15,6,1.09,18099
Bangalore,Kolkata,1609.07,8,5,0.95,7413
Mumbai,Goa,2779.02,5,1,1.2,23492
Bangalore,Goa,2174.92,1,3,0.82,11168
Kolkata,Hyderabad,828.97,6,1,0.92,4223
Mumbai,Chennai,1094.5,7,6,0.81,4219
Hyderabad,Delhi,1637.48,24,1,0.93,7426
Delhi,Bangalore,889.57,81,1,0.97,4045
Chennai,Mumbai,706.21,7,2,1.1,4149
Kolkata,Pune,1531.83,8,5,0.82,6370
Pune,Delhi,353.9,7,0,0.97,2664
Mumbai,Bangalore,895.91,4,0,1.1,7265
Delhi,Chennai,2852.19,11,6,0.64,12337
Kolkata,Goa,2993.47,1,1,1.17,24822
Kolkata,Bangalore,1301.16,2,4,0.86,6891
Hyderabad,Pune,445.28,11,4,1.02,2197
Pune,Goa,1647.24,26,6,1.0,12016
Hyderabad,Mumbai,1178.03,40,5,0.9,3497
Kolkata,Pune,2927.5,28,6,0.82,13669
Pune,Goa,2318.06,13,0,1.16,17534
Chennai,Delhi,2884.62,29,1,1.2,15453
Mumbai,Pune,2394.74,3,3,1.26,19790
Hyderabad,Goa,1411.21,11,0,1.01,9593
Goa,Mumbai,1075.45,10,0,0.9,7715
Goa,Kolkata,2464.29,33,3,0.82,7556
Delhi,Chennai,731.57,7,3,1.46,5540
Mumbai,Goa,2343.29,1,0,1.14,22928
Goa,Hyderabad,468.93,1,1,0.81,2000
Delhi,Hyderabad,1862.91,1,6,1.2,18699
Delhi,Kolkata,2827.16,24,0,0.8,13376
Hyderabad,Mumbai,1676.84,34,3,1.06,7070
Hyderabad,Goa,298.52,26,2,1.34,2000
Bangalore,Kolkata,1540.17,22,0,0.88,7700
Pune,Delhi,2507.54,38,4,1.23,14843
Kolkata,Chennai,632.15,6,1,0.9,4495
Pune,Kolkata,825.17,38,6,1.24,5978
Mumbai,Pune,1320.96,17,4,1.02,5954
Hyderabad,Mumbai,1996.32,12,2,0.89,8212
Pune,Mumbai,928.59,19,4,1.21,6303
Goa,Chennai,1243.21,60,2,1.03,3078
Delhi,Kolkata,1052.1,16,2,0.83,2689
Goa,Delhi,2991.35,8,6,1.05,21370
Pune,Delhi,1848.0,4,5,1.18,14907
Hyderabad,Chennai,1127.57,46,1,1.04,3731
Pune,Goa,877.47,33,0,0.78,4904
Pune,Mumbai,1857.33,5,3,1.13,13261
Pune,Hyderabad,630.36,57,1,0.99,3152
Hyderabad,Pune,1012.2,11,5,1.17,6720
Mumbai,Hyderabad,2981.88,38,5,0.59,7046
Chennai,Hyderabad,2570.58,15,3,1.02,13933
Bangalore,Chennai,1257.02,14,0,1.11,11115
Kolkata,Delhi,1673.23,44,0,1.26,12086
Kolkata,Delhi,1076.04,28,4,1.54,6328
Pune,Hyderabad,2926.24,9,3,1.26,17851
Goa,Bangalore,2973.03,15,3,1.16,17898
Chennai,Bangalore,479.37,27,3,1.1,2891
Pune,Goa,1116.46,15,0,1.08,8794
Bangalore,Delhi,2710.59,10,2,0.83,11692
Delhi,Bangalore,1206.39,32,4,0.95,5041
Kolkata,Mumbai,2784.48,57,1,1.03,11729
Mumbai,Chennai,394.46,15,0,0.91,2000
Bangalore,Delhi,1821.52,20,4,0.96,10215
Mumbai,Hyderabad,1759.25,48,3,1.1,8111
Goa,Kolkata,1104.29,24,6,1.1,6191
Kolkata,Delhi,241.48,5,2,0.96,2000
Goa,Delhi,2227.72,8,3,1.01,11333
Hyderabad,Mumbai,833.82,2,6,1.31,7618
Mumbai,Goa,627.0,34,5,0.91,2302
Kolkata,Pune,540.26,43,5,0.98,2332
Delhi,Mumbai,938.34,80,6,1.2,6032
Delhi,Pune,485.42,26,6,0.76,2000
Goa,Hyderabad,2094.32,4,2,0.97,11327
Chennai,Bangalore,377.49,1,2,1.08,2686
Delhi,Hyderabad,490.2,86,6,0.91,2000
Mumbai,Chennai,2780.56,35,1,1.16,15699
Pune,Goa,1844.29,0,2,0.78,9101
Goa,Mumbai,1803.07,9,0,1.15,11973
Pune,Mumbai,1028.55,51,3,0.93,3811
Chennai,Mumbai,935.49,49,6,1.13,5521
Pune,Delhi,2849.82,4,2,0.88,14275
Kolkata,Pune,353.03,38,0,1.07,4071
Pune,Bangalore,923.16,29,4,1.21,4446
Mumbai,Hyderabad,2839.19,8,0,0.95,17241
Kolkata,Mumbai,720.3,29,2,1.34,4724
Mumbai,Bangalore,669.92,42,3,0.72,3869
Mumbai,Chennai,1568.95,88,1,1.32,8917
Delhi,Mumbai,2990.06,27,5,0.9,12998
Delhi,Bangalore,1101.93,15,3,1.04,5482
Kolkata,Chennai,1013.66,22,3,0.67,2000
Goa,Pune,1979.62,26,4,0.8,6482
Delhi,Kolkata,233.93,31,3,1.02,2000
Mumbai,Kolkata,2434.21,0,0,0.54,11926
Chennai,Goa,1545.32,25,2,0.7,3353
Mumbai,Kolkata,1677.85,3,0,0.76,11222
Goa,Pune,345.8,1,4,1.45,3719
Kolkata,Bangalore,1022.43,86,6,0.76,5240
Goa,Chennai,982.08,7,5,0.91,4103
Goa,Hyderabad,2791.73,14,1,1.08,19169
Pune,Goa,2103.18,51,5,1.01,10303
Mumbai,Pune,355.12,28,6,0.89,2000
Goa,Bangalore,800.44,14,0,1.27,6496
Pune,Delhi,490.54,18,4,1.23,2014
Bangalore,Chennai,1618.39,37,1,1.12,7872
Hyderabad,Pune,1672.95,58,5,1.01,8997
Pune,Hyderabad,2473.8,24,5,1.26,14880
Chennai,Bangalore,1814.22,46,6,0.73,7608
Pune,Mumbai,1405.18,13,4,0.86,5643
Chennai,Pune,1094.4,28,0,1.07,6241
Bangalore,Chennai,268.59,35,4,0.88,2000
Hyderabad,Pune,936.33,10,1,1.1,4441
Pune,Mumbai,484.55,10,5,0.88,2000
Mumbai,Pune,2647.01,27,1,1.0,12444
Delhi,Goa,1714.82,15,5,0.9,8048
Hyderabad,Delhi,1892.14,57,0,0.87,10484
Bangalore,Kolkata,2957.75,0,5,1.44,29967
Delhi,Goa,2358.01,1,6,0.96,19447
Delhi,Pune,1839.18,6,2,1.12,9964
Delhi,Bangalore,2853.16,58,0,1.31,21501
Bangalore,Goa,2338.59,22,2,0.9,7686
Mumbai,Pune,2105.12,89,5,1.17,7650
Pune,Delhi,750.6,80,0,1.27,5114
Delhi,Kolkata,2093.55,86,3,1.14,7978
Goa,Pune,2722.93,13,2,0.99,12724
Bangalore,Delhi,2965.91,44,4,0.61,7544
Mumbai,Kolkata,797.3,2,5,1.37,7187
Delhi,Kolkata,1276.34,30,5,1.14,6435
Mumbai,Bangalore,730.83,9,0,0.92,3542
Chennai,Kolkata,1618.88,11,5,0.94,7983
Pune,Chennai,966.96,54,1,1.04,5822
Delhi,Goa,1800.38,7,1,1.11,10714
Bangalore,Goa,2454.12,49,0,1.19,18291
Chennai,Kolkata,1832.89,27,4,0.65,4564
Bangalore,Delhi,1076.46,71,3,1.01,2972
Kolkata,Pune,2892.02,48,5,0.77,8779
Goa,Kolkata,516.3,107,0,1.31,4022
Chennai,Delhi,329.73,8,4,0.99,2000
Pune,Chennai,438.48,12,5,0.83,3190
Mumbai,Pune,1992.86,14,1,1.05,10091
Mumbai,Bangalore,2782.42,25,5,1.18,16065
Kolkata,Chennai,2870.41,18,0,0.64,13490
Goa,Chennai,2229.57,7,1,0.92,11827
Mumbai,Bangalore,1942.97,12,4,0.58,4775
Pune,Goa,836.66,18,6,0.76,3705
Hyderabad,Chennai,2587.6,11,2,1.47,19537
Bangalore,Chennai,2215.47,9,0,1.2,18454
Chennai,Kolkata,2896.89,18,1,0.95,13840
Hyderabad,Chennai,2881.96,18,3,1.09,15626
Kolkata,Goa,2580.45,6,0,1.07,22098
Hyderabad,Chennai,2877.47,0,4,0.92,16621
Bangalore,Goa,907.69,30,1,0.86,3462
Bangalore,Pune,509.77,65,5,0.95,2000
Delhi,Bangalore,1982.69,7,3,1.34,12716
Kolkata,Hyderabad,1177.02,6,3,1.05,7779
Pune,Goa,263.02,10,4,0.63,2000
Delhi,Kolkata,2109.26,5,4,0.89,11066
Chennai,Goa,1307.57,2,4,0.98,7765
Hyderabad,Mumbai,2116.41,0,2,1.04,13202
Delhi,Hyderabad,1050.01,23,2,0.97,3616
Bangalore,Delhi,2132.23,0,3,1.22,15877
Bangalore,Delhi,1102.27,5,5,0.99,7352
Chennai,Goa,960.81,4,6,0.92,6948
Pune,Bangalore,2459.26,25,3,1.01,9510
Mumbai,Pune,1897.21,61,5,0.92,6988
Goa,Kolkata,1279.42,24,5,0.99,5578
Chennai,Pune,204.02,14,2,1.04,2000
Delhi,Kolkata,1294.7,26,0,1.25,9344
Kolkata,Pune,2256.27,24,0,0.86,12198
Pune,Chennai,1038.11,26,3,1.06,3922
Mumbai,Hyderabad,562.86,3,2,1.37,4755
Goa,Kolkata,1804.81,36,0,0.96,8037
Delhi,Chennai,2542.08,36,2,1.08,11751
Bangalore,Delhi,2049.84,116,0,0.83,9836
Chennai,Kolkata,2014.18,30,1,0.91,8892
Mumbai,Goa,2582.33,10,3,1.08,14365
Chennai,Hyderabad,1219.57,44,0,1.13,8347
Bangalore,Pune,1108.95,21,3,1.11,4025
Bangalore,Kolkata,313.06,2,3,0.96,3138
Chennai,Mumbai,913.24,99,6,1.34,4640
Mumbai,Goa,2325.85,19,6,0.93,14500
Kolkata,Pune,2723.06,5,1,0.79,15669
Kolkata,Goa,2246.34,27,1,1.31,13700
Hyderabad,Kolkata,1338.94,11,3,0.54,2000
Delhi,Mumbai,2105.73,46,4,1.04,9175
Kolkata,Pune,1127.8,15,1,0.86,5507
Delhi,Mumbai,2992.5,0,4,1.39,27820
Pune,Mumbai,2434.38,3,2,0.72,8475
Bangalore,Mumbai,2374.45,6,5,0.66,10343
Mumbai,Delhi,2763.16,6,3,0.7,12433
Bangalore,Goa,1621.24,25,4,0.73,4497
Mumbai,Goa,2967.49,20,3,1.27,17372
Chennai,Goa,2543.88,27,5,0.59,7025
Bangalore,Kolkata,494.37,71,2,0.84,2000
Chennai,Delhi,1658.44,19,4,1.22,9911
Bangalore,Hyderabad,1223.39,30,4,1.15,5412
Delhi,Hyderabad,2364.31,8,1,1.22,15360
Chennai,Mumbai,2192.94,68,0,0.86,8126
Pune,Kolkata,996.79,26,4,1.28,3804
Kolkata,Pune,974.74,18,5,0.78,2405
Kolkata,Bangalore,508.89,98,3,0.64,2365
Bangalore,Goa,1392.92,14,6,1.15,10447
Chennai,Bangalore,2352.06,53,4,1.15,12803
Kolkata,Delhi,1154.47,31,4,1.07,6889
Hyderabad,Goa,1983.13,59,5,1.34,12569
Goa,Bangalore,1617.59,11,4,1.02,6653
Pune,Bangalore,1366.59,128,4,1.2,6771
Kolkata,Pune,810.63,10,0,0.5,2911
Chennai,Mumbai,2989.02,31,0,1.13,17203
Pune,Chennai,462.97,76,5,1.11,2000
Mumbai,Goa,1953.97,20,4,1.05,12376
Bangalore,Delhi,752.64,37,2,0.97,3676
Chennai,Kolkata,1828.6,27,1,1.17,9371
Mumbai,Goa,724.4,2,1,1.27,5562
Goa,Bangalore,747.59,18,2,0.89,2000
Delhi,Chennai,1944.59,5,4,0.95,11869
Bangalore,Delhi,949.95,20,2,0.76,4142
Mumbai,Hyderabad,880.47,13,2,0.88,4673
Mumbai,Bangalore,302.89,15,3,1.0,2130
Kolkata,Bangalore,2823.65,47,4,0.97,13439
Goa,Mumbai,2344.72,3,4,1.0,17301
Delhi,Goa,612.93,33,6,1.09,2000
Hyderabad,Mumbai,1425.28,15,1,1.06,8655
Chennai,Goa,2188.24,0,3,0.94,13495
Hyderabad,Delhi,2079.35,82,2,0.75,6702
Hyderabad,Kolkata,1132.31,4,3,1.04,8028
Mumbai,Kolkata,1595.57,43,4,1.06,6792
Chennai,Delhi,2009.26,20,6,1.26,16975
Mumbai,Chennai,2099.45,15,0,0.69,9590
Chennai,Kolkata,1783.58,38,6,1.25,10449
Goa,Kolkata,248.64,88,1,1.15,2135
Hyderabad,Bangalore,2094.3,15,3,1.01,10008
Pune,Mumbai,2769.52,2,2,0.95,15429
Mumbai,Bangalore,1835.25,7,2,0.83,6690
Pune,Delhi,2754.62,14,5,1.26,19390
Chennai,Pune,2121.52,7,5,0.75,7157
Bangalore,Hyderabad,2775.62,45,4,1.01,12671
Hyderabad,Delhi,269.69,2,1,1.05,2000
Mumbai,Hyderabad,552.59,4,1,0.88,2396
Kolkata,Delhi,1471.28,1,2,0.87,7168
Pune,Goa,666.24,23,1,1.12,3607
Bangalore,Goa,2048.65,53,5,0.98,6500
Bangalore,Kolkata,2932.91,24,2,0.98,13198
Hyderabad,Kolkata,1822.85,4,2,0.97,10751
Goa,Pune,2139.31,0,3,1.37,16195
Pune,Delhi,2145.37,8,6,1.12,16216
Pune,Delhi,1468.54,18,2,0.75,5594
Kolkata,Mumbai,1436.25,49,5,0.84,4788
Pune,Chennai,1482.81,60,3,1.37,9348
Pune,Delhi,1728.12,5,4,1.25,15089
Bangalore,Kolkata,2123.65,2,5,1.01,13707
Pune,Mumbai,203.67,6,3,1.21,2041
Goa,Mumbai,1137.13,39,3,0.97,4429
Chennai,Mumbai,2131.93,99,3,0.5,6359
Hyderabad,Goa,379.49,18,4,1.04,2609
Bangalore,Pune,2332.91,9,4,0.94,11165
Hyderabad,Goa,2119.88,2,3,1.02,12729
Delhi,Hyderabad,1757.83,9,0,0.99,11736
Delhi,Kolkata,203.29,21,5,0.91,2000
Delhi,Chennai,677.54,19,5,1.39,6562
Pune,Goa,998.65,10,1,0.78,4781
Hyderabad,Goa,1439.38,14,5,1.26,11591
Goa,Mumbai,2075.13,11,0,1.38,20573
Mumbai,Delhi,2093.6,1,0,0.67,11873
Mumbai,Goa,694.51,13,1,0.9,4050
Pune,Delhi,2121.02,79,1,0.92,6136
Mumbai,Delhi,233.47,33,4,1.18,2000
Pune,Bangalore,2015.58,33,5,0.76,4879
Chennai,Pune,1877.61,11,6,1.0,11578
Kolkata,Bangalore,2527.97,5,1,0.78,14316
Kolkata,Goa,2015.65,1,0,0.92,15923
Chennai,Kolkata,1016.82,84,6,0.92,3609
Chennai,Delhi,1484.04,45,4,1.04,4943
Goa,Pune,2304.46,40,6,1.06,12402
Goa,Kolkata,522.59,33,3,1.0,2019
Hyderabad,Bangalore,1589.93,2,6,0.74,10281
Mumbai,Pune,1216.88,10,5,0.82,6143
Kolkata,Bangalore,1847.05,1,0,1.09,18783
Hyderabad,Kolkata,1322.15,9,0,0.9,7070
Kolkata,Bangalore,275.07,28,4,0.88,2000
Hyderabad,Pune,881.76,4,3,0.99,4824
Delhi,Mumbai,2136.13,1,5,0.64,9025
Delhi,Hyderabad,900.8,33,4,0.77,2177
Hyderabad,Kolkata,822.64,5,1,0.84,5691
Delhi,Hyderabad,2064.82,1,5,0.7,10196
Kolkata,Goa,2823.58,22,6,1.11,17774
Goa,Bangalore,633.62,28,3,0.94,2000
Hyderabad,Pune,1129.27,23,1,1.11,4558
Pune,Goa,1734.57,3,4,1.05,12576
Kolkata,Chennai,2920.88,8,5,0.79,12191
Goa,Mumbai,1025.12,26,3,1.22,4769
Kolkata,Goa,1528.43,47,1,1.19,8699
Pune,Delhi,1597.3,22,6,0.95,10315
Bangalore,Kolkata,1448.84,85,3,0.83,3332
Pune,Kolkata,2980.82,22,3,0.92,11813
Kolkata,Chennai,2323.78,101,1,0.98,9199
Bangalore,Goa,2819.74,141,1,0.64,7963
Mumbai,Goa,1119.22,27,1,0.94,3887
Delhi,Goa,1828.0,8,1,0.95,9354
Bangalore,Pune,980.64,113,2,1.05,2435
Chennai,Kolkata,2212.55,33,3,1.31,13157
Hyderabad,Chennai,1752.28,15,5,1.3,13968
Mumbai,Pune,1502.94,32,2,0.82,4202
Hyderabad,Delhi,485.99,1,5,1.19,4943
Kolkata,Delhi,894.61,7,3,1.12,4716
Pune,Mumbai,1703.31,30,1,0.95,8361
Hyderabad,Chennai,726.55,1,6,1.22,8339
Chennai,Hyderabad,2155.88,20,6,1.17,19019
Mumbai,Kolkata,1365.35,11,2,0.77,6743
Hyderabad,Kolkata,1323.75,7,3,0.83,7021
Delhi,Hyderabad,2804.26,5,6,0.77,17836
Hyderabad,Delhi,412.87,5,5,0.75,2000
Goa,Kolkata,316.21,77,6,1.15,2000
Kolkata,Delhi,1703.2,66,5,1.33,6105
Pune,Mumbai,1119.35,1,0,0.82,6068
Bangalore,Pune,1927.3,24,3,1.27,10795
Bangalore,Delhi,2288.22,75,1,1.32,9773
Goa,Bangalore,554.97,17,6,1.0,2491
Bangalore,Kolkata,2845.28,36,6,0.88,15045
Pune,Hyderabad,1260.41,0,1,1.14,10657
Pune,Chennai,1770.91,53,3,1.49,10216
Mumbai,Kolkata,709.59,23,6,1.05,5594
Hyderabad,Pune,2636.24,42,5,0.94,10054
Hyderabad,Chennai,685.76,92,1,1.25,2000
Pune,Chennai,2004.09,43,0,1.0,11965
Hyderabad,Goa,1835.23,7,1,1.02,9412
Bangalore,Delhi,1742.1,50,6,0.58,6388
Kolkata,Goa,657.01,8,6,0.98,3777
Hyderabad,Bangalore,1012.99,15,4,0.95,3661
Chennai,Hyderabad,2428.14,66,3,0.9,6851
Delhi,Kolkata,1534.69,24,6,1.18,9919
Goa,Hyderabad,2396.16,10,6,0.91,14143
Goa,Pune,2402.96,62,3,0.87,6667
Kolkata,Hyderabad,2079.37,68,5,0.89,6044
Chennai,Delhi,724.75,5,6,1.28,8484
Kolkata,Hyderabad,1886.41,13,3,1.19,10381
Mumbai,Goa,2577.24,66,1,0.93,8468
Hyderabad,Kolkata,2552.85,33,2,1.2,12139
Mumbai,Kolkata,1355.23,30,4,0.97,6229
Bangalore,Goa,332.16,58,1,0.96,2000
Delhi,Bangalore,2219.75,21,0,1.13,13390
Chennai,Delhi,1196.39,23,0,0.82,7408
Delhi,Mumbai,1714.35,0,0,0.91,13687
Pune,Bangalore,2545.57,6,3,0.9,14054
Pune,Chennai,663.96,43,0,1.46,5424
Hyderabad,Kolkata,1408.18,29,3,0.91,3943
Kolkata,Bangalore,2890.0,12,2,0.85,11317
Hyderabad,Mumbai,2694.89,11,5,1.02,16249
